"Reference","Value","Footprint","Qty"
"C1,C3,C4,C5","10µF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","4"
"C2,C6","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2"
"D1,D2,D3","SS14","Diode_SMD:D_SMA","3"
"D4,D5","LED_Filled","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","2"
"J1","Conn_01x02","Single:JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal","1"
"J2","Conn_01x03","Single:JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal","1"
"R1","10kΩ","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1"
"R2,R3","1kΩ","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2"
"R4","R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1"
"R5","1MΩ","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1"
"SW1","SW_Push","Button_Switch_THT:SW_PUSH_6mm_H5mm","1"
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10","TestPoint","Single:TEST-TH_Loop_D2.40mm_Drill0.9mm_Beaded","10"
"U1","MIC5225-5.0YM5","Package_TO_SOT_SMD:SOT-23-5","1"
"U2","ATtiny402-SS","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1"
"U3","74LVC2GU04","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","1"
"Y1","16MHz","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","1"
